0,shapeID,propertyID,propertyLabel,mandatory,repeatable,valueNodeType,valueDataType,valueConstraint,valueConstraintType,valueShape,valueClass,Severity,Rec Usage,note
272,GPAShape,pesc:gradePointAverage,Grade Point Average,FALSE,FALSE,Literal,xsd:float,,,,,,Recommended,decimal
,StudentShape,pesc:hasSummary,Has Summary,TRUE,TRUE,IRI BNODE,,,,,"pesc:AcademicSummary
pesc:AwardSummary
pesc:ProgramSummary
pesc:SessionSummary",Warning,Required,
231,AcademicHonorsShape,pesc:honorsLevel,Honors Level,FALSE,FALSE,IRI,,"pescHonorsLevels:FirstHighest
pescHonorsLevels:SecondHighest
pescHonorsLevels:ThirdHighest",picklist,,,,Recommended,
230,AcademicHonorsShape,pesc:honorsTitle,Honors Title,FALSE,FALSE,Literal,xsd:string,30,maxLength,,,,Recommended,
,AwardSummaryShape,pesc:isSummaryForAward,Is Summary For Award,TRUE,FALSE,IRI BNODE,,,,AcademicAwardShape,ceds:C200335,,Required,
,AwardSummaryShape,pesc:isSummaryForProgram,Is Summary For Program,FALSE,FALSE,IRI BNODE,,,,AcademicProgramShape,ceds:C200331,,Not Recommended,"This would not normally be used at this point in the schema, to give detailed data about the academic program in which an award was earned."
,ProgramSummaryShape,pesc:isSummaryForProgram,Is Summary For Program,TRUE,FALSE,IRI BNODE,,,,AcademicProgramShape,ceds:C200331,,Recommended,
,SessionSummaryShape,pesc:isSummaryForProgram,Is Summary For Program,FALSE,FALSE,IRI BNODE,,,,AcademicProgramShape,ceds:C200331,,Not Recommended,It would be quite unusual to see this included on a college transcript at this point in the schema.
,AcademicSummaryShape,pesc:isSummaryForProgram,Is Summary For Program,FALSE,FALSE,IRI BNODE,,,,AcademicProgramShape,ceds:C200331,,Optional,"This would not normally be used at this point in the schema, to give detailed data about the academic program in which an award was earned."
,SessionSummaryShape,pesc:isSummaryForSession,Is Summary For Session,TRUE,FALSE,IRI BNODE,,,,AcademicSessionShape,ceds:C200245,,Required,
,AwardSummaryShape,pesc:source,Source,FALSE,FALSE,IRI BNODE,,,,OrganizationShape,ceds:C200239,,Optional,
,ProgramSummaryShape,pesc:source,Source,FALSE,FALSE,IRI BNODE,,,,OrganizationShape,ceds:C200239,,Optional,
,SessionSummaryShape,pesc:source,Source,FALSE,FALSE,IRI BNODE,,,,OrganizationShape,ceds:C200239,,Optional,
,AcademicSummaryShape,pesc:source,Source,FALSE,FALSE,IRI BNODE,,,,OrganizationShape,ceds:C200239,,Optional,
273,GPAShape,pesc:totalQualityPoints,Total Quality Points,FALSE,FALSE,Literal,xsd:float,,,,,,Recommended,decimal
,AwardSummaryShape,rdf:type,Type,TRUE,TRUE,IRI,,pesc:AwardSummary,,,,,,
,ProgramSummaryShape,rdf:type,Type,TRUE,TRUE,IRI,,pesc:ProgramSummary,,,,,,
,SessionSummaryShape,rdf:type,Type,TRUE,TRUE,IRI,,pesc:SessionSummary,,,,,,
,AcademicSummaryShape,rdf:type,Type,TRUE,TRUE,IRI,,pesc:AcademicSummary,,,,,,
,GPAShape,rdf:type,Type,TRUE,TRUE,IRI,,pesc:GPA,,,,,,
,AcademicHonorsShape,rdf:type,Type,TRUE,TRUE,IRI,,pesc:AcademicHonors,,,,,,
